Description;ASSETNUM;LOCATION;facteur;valeur;pourcentage;action_recommandee;action_secondaire;FC;PB;type_lubrification;oil_level;downtime;vibration;power_alimentation;maintenance_frequency;seniority
fuite hydraulique;L31BI999;A36DM999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;graisse;3;1.33;non;moyenne;mensuelle;10
surchauffe moteur;L5AZBM999;A371DM999;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;85 dB;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;graisse;5;6.25;oui;faible;annuelle;1
problème tension;L1DZBM999;L430;Tension d'alimentation - Isolation des cbles - Température des composants;Humidité: 90% RH;100.0;"""""""Vérifier les connexions électriques""";Tester les composants;PB_ELEC;PB_ELEC;semi-solide;2;1.1;non;faible;trimestrielle;2
surchauffe;1001;L3100;"""	Pression du système""";Fissurés;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;1;6.36;non;moyenne;mensuelle;14
problème tension;12600;L200;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;4;1.08;non;bonne;mensuelle;0
problème tension;11450;L300;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;100.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;2;3.25;non;bonne;hebdomadaire;0
fuite hydraulique;11230;TUMBLE;"""	Pression du système""";Fissurés;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;4;6.81;oui;moyenne;trimestrielle;13
surchauffe;12300;CLEAN;Niveau de liquide de refroidissement - Encrassement du radiateur - Vitesse du ventilateur;>45°C;0.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;aucune;4;1.13;oui;faible;hebdomadaire;7
panne pneumatique;11430;MECHASSY;Pression d'air - Fuites dans le circuit - Qualité de l'air;Humidité: 90% RH;100.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;aucune;4;3.08;non;faible;mensuelle;9
défaut logiciel;13141;MOLD;Version du firmware - CPU Usage - Erreurs mémoire;>45°C;100.0;Redémarrer le système;Vérifier les logs d'erreur;PB_LOG;PB_LOG;semi-solide;4;1.1;oui;bonne;mensuelle;2
fuite hydraulique;12700;6THFLOOR;Pression du système - État des joints - Type de fluide;Humidité: 90% RH;100.0;Identifier la source de la fuite;Remplacer les joints;pb_HYD;pb_HYD;graisse;3;3.77;non;faible;hebdomadaire;7
fuite hydraulique;11470;A10211OC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;huile;1;3.14;non;bonne;trimestrielle;16
fuite hydraulique;13140;L4AZVBC999;Pression du système - État des joints - Type de fluide;85 dB;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;5;5.3;oui;moyenne;mensuelle;6
usure mécanique;11200;L48BZVBC999;"""	Pression du système""";1500 RPM;100.0;Remplacer la courroie;Vérifier l'alignement;PB_MECA;PB_MECA;graisse;2;7.16;oui;faible;trimestrielle;18
problème tension;11300;L45AZVBC999;Tension d'alimentation - Isolation des cbles - Température des composants;85 dB;60.0;Vérifier les connexions électriques;Tester les composants;PB_ELEC;PB_ELEC;aucune;5;3.03;oui;bonne;mensuelle;17
panne pneumatique;11460;L41BZVBC999;Pression d'air - Fuites dans le circuit - Qualité de l'air;Fissurés;50.0;Inspecter le système pneumatique;Remplacer les composants usés;PB_PNEU;PB_PNEU;huile;5;7.98;non;faible;hebdomadaire;12
fuite hydraulique;12210;L41AZVBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;1;6.29;non;faible;mensuelle;11
fuite hydraulique;12100;L2B1VBC999;Pression du système - État des joints - Type de fluide;>45°C;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;semi-solide;2;7.49;oui;faible;annuelle;8
fuite hydraulique;13150;L3A1VBC999;Pression du système - État des joints - Type de fluide;1500 RPM;100.0;Identifier la source de la fuite;Remplacer les joints;PB_HYD;PB_HYD;aucune;1;2.79;non;bonne;hebdomadaire;16
surchauffe moteur;13110;L6B1VBC999;"""	Pression du système""";Humidité: 90% RH;100.0;Inspecter le système de refroidissement;Nettoyer les ventilateurs;PB_SUR;PB_SUR;semi-solide;4;7.01;non;moyenne;hebdomadaire;10
